object_id,label,layer,language names,spellings,alternate names,notes,sources,type,Language areas,Sub-regions,Jamoats,text
10,Возм,Shughni,"{'Shughni': '?', 'Russian': 'Возм (Vozm)'}",['Воозм (Voozm)'],,['belongs to the Порх̌инев jamoat'],"['Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,—,Порх̌инев ҷамоат,"Shughni: ?
Russian: Возм (Vozm)
alternate spellings: Воозм (Voozm)
coordinates: [37.6053176, 71.5165305]
altitude: 2130 m

idiom: proper Shughni language

notes: belongs to the Порх̌инев jamoat

sources: [Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
11,Барчид,Shughni,{},,,['belongs to the Порх̌инев jamoat'],"['Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,—,Порх̌инев ҷамоат,"coordinates: [37.6025296, 71.5122296]
altitude: 2070 m

idiom: proper Shughni language

notes: belongs to the Порх̌инев jamoat

sources: [Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
12,Ку̊х̌к,Shughni,{'Russian': 'Кухк (Kukhk)'},['Кушк (Kushk)'],,"['belongs to the Порх̌инев jamoat', 'borrowed from Tajik кӯшк «mansion» [Додыхудоев 1976: 144]']","['Эдельман 1975: 49', 'Каландаров 2004: 11', 'Додыхудоев 1976: 144']",point,proper Shughni language,—,Порх̌инев ҷамоат,"Russian: Кухк (Kukhk)
alternate spellings: Кушк (Kushk)
coordinates: [37.5986705, 71.5160614]
altitude: 2109 m

idiom: proper Shughni language

notes: belongs to the Порх̌инев jamoat; borrowed from Tajik кӯшк «mansion» [Додыхудоев 1976: 144]

sources: [Эдельман 1975: 49; Каландаров 2004: 11; Додыхудоев 1976: 144]"
13,Бувед,Shughni,"{'Shughni': '?', 'Russian': 'Бувед (Buved)'}",['Бовед (Boved)'],,['belongs to the Порх̌инев jamoat'],"['Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,—,Порх̌инев ҷамоат,"Shughni: ?
Russian: Бувед (Buved)
alternate spellings: Бовед (Boved)
coordinates: [37.5867924, 71.5151423]
altitude: 2134 m

idiom: proper Shughni language

notes: belongs to the Порх̌инев jamoat

sources: [Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
14,Хоса,Shughni,"{'Shughni': '?', 'Russian': 'Хоса (Khosa)'}",['Хосса (Khossa)'],,['belongs to the Порх̌инев jamoat'],"['Каландаров 2004: 11', 'J-42']",point,proper Shughni language,—,Порх̌инев ҷамоат,"Shughni: ?
Russian: Хоса (Khosa)
alternate spellings: Хосса (Khossa)
coordinates: [37.5758923, 71.5137507]
altitude: 2122 m

idiom: proper Shughni language

notes: belongs to the Порх̌инев jamoat

sources: [Каландаров 2004: 11; J-42]"
15,Миденхор (?),Shughni,"{'Shughni': '?', 'Russian': 'Миденхор (Midenkhor)'}",['Миденшор (Midenshor)'],,"['belongs to the Порх̌инев jamoat', 'exact location and boundaries is unclear', 'currently the administrative center of the jamoat']",['Каландаров 2004: 11'],point,proper Shughni language,—,Порх̌инев ҷамоат,"Shughni: ?
Russian: Миденхор (Midenkhor)
alternate spellings: Миденшор (Midenshor)
coordinates: [37.5823793, 71.5141811]
altitude: 2131 m

idiom: proper Shughni language

notes: belongs to the Порх̌инев jamoat; exact location and boundaries is unclear; currently the administrative center of the jamoat

sources: [Каландаров 2004: 11]"
16,Пахор (?),Shughni,"{'Shughni': '?', 'Russian': 'Пахор (Pakhor)'}",['Пашор (Pashor)'],,"['belongs to the Порх̌инев jamoat', 'exact location is unclear']","['Каландаров 2004: 11', 'J-42']",point,proper Shughni language,—,Порх̌инев ҷамоат,"Shughni: ?
Russian: Пахор (Pakhor)
alternate spellings: Пашор (Pashor)
coordinates: [37.5608058, 71.5098025]
altitude: 2052 m

idiom: proper Shughni language

notes: belongs to the Порх̌инев jamoat; exact location is unclear

sources: [Каландаров 2004: 11; J-42]"
17,Тихор (?),Shughni,"{'Shughni': '?', 'Russian': 'Тихор (Tikhor)'}",['Тишор (Tishor)'],,"['belongs to the Порх̌инев jamoat', 'exact location is unclear']","['Каландаров 2004: 11', 'J-42']",point,proper Shughni language,—,Порх̌инев ҷамоат,"Shughni: ?
Russian: Тихор (Tikhor)
alternate spellings: Тишор (Tishor)
coordinates: [37.5714341, 71.5165364]
altitude: 2186 m

idiom: proper Shughni language

notes: belongs to the Порх̌инев jamoat; exact location is unclear

sources: [Каландаров 2004: 11; J-42]"
18,Ҷирӯҷ (?),Shughni,"{'Shughni': '?', 'Russian': 'Джирудж (Dzhirudzh)', 'Tajiki': 'Ҷирӯҷ (J̌irūǰ)'}",['Джирож (Dzhirozh)'],,"['belongs to the Порх̌инев jamoat', 'exact location is unclear']",['Каландаров 2004: 11'],point,proper Shughni language,—,Порх̌инев ҷамоат,"Shughni: ?
Russian: Джирудж (Dzhirudzh)
Tajiki: Ҷирӯҷ (J̌irūǰ)
alternate spellings: Джирож (Dzhirozh)
coordinates: [37.5660409, 71.5153703]
altitude: 2193 m

idiom: proper Shughni language

notes: belongs to the Порх̌инев jamoat; exact location is unclear

sources: [Каландаров 2004: 11]"
19,Тем,Shughni,"{'Shughni': '?', 'Russian': 'Тем (Tem)'}",['Тым (Tym)'],,['belongs to the Порх̌инев jamoat'],"['Зарубин 1930: 109', 'Эдельман 1975: 49', 'J-42']",point,proper Shughni language,—,Порх̌инев ҷамоат,"Shughni: ?
Russian: Тем (Tem)
alternate spellings: Тым (Tym)
coordinates: [37.5207203, 71.5080674]
altitude: 2082 m

idiom: proper Shughni language

notes: belongs to the Порх̌инев jamoat

sources: [Зарубин 1930: 109; Эдельман 1975: 49; J-42]"
20,Даштитем,Shughni,"{'Shughni': '?', 'Russian': 'Даштитем (Dashtitem)'}",['Даштитым (Dashtitym)'],,,,point,proper Shughni language,—,—,"Shughni: ?
Russian: Даштитем (Dashtitem)
alternate spellings: Даштитым (Dashtitym)
coordinates: [37.4938635, 71.5206848]
altitude: 2086 m

idiom: proper Shughni language

"
21,Наводак,Shughni,"{'Shughni': '?', 'Russian': 'Наводак (Navodak)'}",,,,"['Каландаров 2004: 11', 'J-42']",point,proper Shughni language,—,—,"Shughni: ?
Russian: Наводак (Navodak)
coordinates: [37.4704078, 71.5252762]
altitude: 2088 m

idiom: proper Shughni language

sources: [Каландаров 2004: 11; J-42]"
22,Гожак,Shughni,"{'Shughni': '?', 'Russian': 'Гожак (Gozhak)'}",,,['belongs to the Дарморахт jamoat'],"['Каландаров 2004: 11', 'J-42']",point,proper Shughni language,—,Дарморахт ҷамоат,"Shughni: ?
Russian: Гожак (Gozhak)
coordinates: [37.4043958, 71.492934]
altitude: 2133 m

idiom: proper Shughni language

notes: belongs to the Дарморахт jamoat

sources: [Каландаров 2004: 11; J-42]"
23,"Пиш
",Shughni,"{'Shughni': '?', 'Russian': 'Пиш (Pish)'}",,,['belongs to the Дарморахт jamoat'],"['Каландаров 2004: 11', 'J-42']",point,proper Shughni language,—,Дарморахт ҷамоат,"Shughni: ?
Russian: Пиш (Pish)
coordinates: [37.3749076, 71.4946524]
altitude: 2157 m

idiom: proper Shughni language

notes: belongs to the Дарморахт jamoat

sources: [Каландаров 2004: 11; J-42]"
24,Нишусп,Shughni,"{'Shughni': '?', 'Russian': 'Нишусп (Nishusp)'}",,,"['belongs to the Дарморахт jamoat', 'the location is taken from [Pamiri Map 2013]']","['Каландаров 2004: 11', 'J-42']",point,proper Shughni language,—,Дарморахт ҷамоат,"Shughni: ?
Russian: Нишусп (Nishusp)
coordinates: [37.3141844, 71.5081616]
altitude: 2199 m

idiom: proper Shughni language

notes: belongs to the Дарморахт jamoat; the location is taken from [Pamiri Map 2013]

sources: [Каландаров 2004: 11; J-42]"
25,Хичозг (?),Shughni,"{'Shughni': '?', 'Russian': 'Хичозг (Khichozg)'}",['Шичозг (Shichozg)'],,"['belongs to the Дарморахт jamoat', 'the location is taken from [Pamiri Map 2013]']",['Каландаров 2004: 11'],point,proper Shughni language,—,Дарморахт ҷамоат,"Shughni: ?
Russian: Хичозг (Khichozg)
alternate spellings: Шичозг (Shichozg)
coordinates: [37.3232249, 71.5001921]
altitude: 2200 m

idiom: proper Shughni language

notes: belongs to the Дарморахт jamoat; the location is taken from [Pamiri Map 2013]

sources: [Каландаров 2004: 11]"
26,Бедурδ,Shughni,"{'Shughni': 'Бедурδ (Bedurδ)', 'Russian': 'Бидурд (Bidurd)'}",,,"['alternate spellings:\xa0Бедурд (Bedurd)', '', 'belongs to the Х̌ичу̊н jamoat']","['Эдельман 1975: 49', 'Каландаров 2004: 12', 'J-42']",point,proper Shughni language,Ғунд,Х̌ичу̊н ҷамоат,"Shughni: Бедурδ (Bedurδ)
Russian: Бидурд (Bidurd)
coordinates: [37.5259714, 71.6076672]
altitude: 2252 m

idiom: proper Shughni language
regions: Ғунд

notes: alternate spellings: Бедурд (Bedurd); ; belongs to the Х̌ичу̊н jamoat

sources: [Эдельман 1975: 49; Каландаров 2004: 12; J-42]"
27,Манем,Shughni,"{'Shughni': '?', 'Russian': 'Манем (Manem)'}",,,['belongs to the Х̌ичу̊н jamoat'],"['Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,Х̌ичу̊н ҷамоат,"Shughni: ?
Russian: Манем (Manem)
coordinates: [37.5429005, 71.6877749]
altitude: 2313 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Х̌ичу̊н jamoat

sources: [Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
28,Сипинз,Shughni,"{'Shughni': '?', 'Russian': 'Сипинз (Sipinz)'}",['Спинз (Spinz)'],,['belongs to the Х̌ичу̊н jamoat'],['Каландаров 2004: 12'],point,proper Shughni language,Ғунд,Х̌ичу̊н ҷамоат,"Shughni: ?
Russian: Сипинз (Sipinz)
alternate spellings: Спинз (Spinz)
coordinates: [37.5247831, 71.6256098]
altitude: 2426 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Х̌ичу̊н jamoat

sources: [Каландаров 2004: 12]"
29,Рож / Сучан,Shughni,"{'Shughni': '?', 'Russian': 'Рож (Rozh)'}",,"['Х̌ичу̊н (X̌ičůn)', 'Сучан (Suchan)']","['belongs to the Х̌ичу̊н jamoat', 'Рож is called Сучан (Suchan) on the map J-42', 'in this settlement, there live many resettlers from the Rushan region']","['Зарубин 1930: 109', 'Каландаров 2004: 12', 'J-42']",point,proper Shughni language,Ғунд,Х̌ичу̊н ҷамоат,"Shughni: ?
Russian: Рож (Rozh)
alternate names: Х̌ичу̊н (X̌ičůn), Сучан (Suchan)
coordinates: [37.533407, 71.6340529]
altitude: 2592 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Х̌ичу̊н jamoat; Рож is called Сучан (Suchan) on the map J-42; in this settlement, there live many resettlers from the Rushan region

sources: [Зарубин 1930: 109; Каландаров 2004: 12; J-42]"
30,Питоб,Shughni,"{'Shughni': '?', 'Russian': 'Питоб (Pitob)'}",,,['belongs to the Х̌ичу̊н jamoat'],"['Каландаров 2004: 12', 'J-42']",point,proper Shughni language,Ғунд,Х̌ичу̊н ҷамоат,"Shughni: ?
Russian: Питоб (Pitob)
coordinates: [37.524293, 71.6417294]
altitude: 2284 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Х̌ичу̊н jamoat

sources: [Каландаров 2004: 12; J-42]"
31,Сангов,Shughni,"{'Shughni': '?', 'Russian': 'Сангов (Sangov)'}","['Сангоф (Sangof)', 'Сангоб (Sangob)']",,['belongs to the Х̌ичу̊н jamoat'],"['Каландаров 2004: 12', 'J-42']",point,proper Shughni language,Ғунд,Х̌ичу̊н ҷамоат,"Shughni: ?
Russian: Сангов (Sangov)
alternate spellings: Сангоф (Sangof), Сангоб (Sangob)
coordinates: [37.5194888, 71.6382898]
altitude: 2230 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Х̌ичу̊н jamoat

sources: [Каландаров 2004: 12; J-42]"
32,Даштак,Shughni,"{'Shughni': '?', 'Russian': 'Даштак (Dashtak)'}",['Дахтак (Dakhtak)'],,['belongs to the Х̌ичу̊н jamoat'],"['Каландаров 2004: 12', 'J-42']",point,proper Shughni language,Ғунд,Х̌ичу̊н ҷамоат,"Shughni: ?
Russian: Даштак (Dashtak)
alternate spellings: Дахтак (Dakhtak)
coordinates: [37.5303788, 71.6532634]
altitude: 2290 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Х̌ичу̊н jamoat

sources: [Каландаров 2004: 12; J-42]"
33,Даштак,Shughni,"{'Shughni': '?', 'Russian': 'Даштак (Dashtak)'}",,,"['belongs to the Мирсаид Миршакар jamoat', 'on the J-42 map, the location of this settlement is probably incorrect']","['Каландаров 2004: 11', 'The Pamirs’ Map 2013']",point,proper Shughni language,Ғунд,Х̌ичу̊н ҷамоат,"Shughni: ?
Russian: Даштак (Dashtak)
coordinates: [37.5303788, 71.6532634]
altitude: 2290 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Мирсаид Миршакар jamoat; on the J-42 map, the location of this settlement is probably incorrect

sources: [Каландаров 2004: 11; The Pamirs’ Map 2013]"
34,Шиврож,Shughni,"{'Shughni': '?', 'Russian': 'Шиврож (Shivrozh)'}",,,"['apparently belongs to the Х̌ичу̊н jamoat', 'probably called Парзудж (Parzudzh) on the map J-42-96']",,point,proper Shughni language,Ғунд,Х̌ичу̊н ҷамоат,"Shughni: ?
Russian: Шиврож (Shivrozh)
coordinates: [37.5337494, 71.6452038]
altitude: 2466 m

idiom: proper Shughni language
regions: Ғунд

notes: apparently belongs to the Х̌ичу̊н jamoat; probably called Парзудж (Parzudzh) on the map J-42-96

"
35,Богив,Shughni,"{'Shughni': '?', 'Russian': 'Богив (Bogiv)', 'Tajiki': 'Боғев (Boɣev)'}",['Богев (Bogev)'],,['belongs to the Х̌ичу̊н jamoat'],"['Каландаров 2004: 12', 'J-42']",point,proper Shughni language,Ғунд,Х̌ичу̊н ҷамоат,"Shughni: ?
Russian: Богив (Bogiv)
Tajiki: Боғев (Boɣev)
alternate spellings: Богев (Bogev)
coordinates: [37.5345704, 71.6676514]
altitude: 2307 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Х̌ичу̊н jamoat

sources: [Каландаров 2004: 12; J-42]"
36,Бердибекобод,Shughni,"{'Shughni': '?', 'Russian': 'Бердибекобод (Berdibekobod)'}",,['Штабох (Shtabokh)'],['belongs to the Х̌ичу̊н jamoat'],"['Каландаров 2004: 12', 'J-42']",point,proper Shughni language,Ғунд,Х̌ичу̊н ҷамоат,"Shughni: ?
Russian: Бердибекобод (Berdibekobod)
alternate names: Штабох (Shtabokh)
coordinates: [37.5535944, 71.7158172]
altitude: 2344 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Х̌ичу̊н jamoat

sources: [Каландаров 2004: 12; J-42]"
37,Питодашт (?),Shughni,"{'Shughni': '?', 'Russian': 'Питодашт (Pitodasht)'}",['Питодахт (Pitodakht)'],,"['apparently belongs to the Х̌ичу̊н jamoat', 'exact location is unclear']",['J-42'],point,proper Shughni language,Ғунд,Х̌ичу̊н ҷамоат,"Shughni: ?
Russian: Питодашт (Pitodasht)
alternate spellings: Питодахт (Pitodakht)
coordinates: [37.5405356, 71.6799456]
altitude: 2292 m

idiom: proper Shughni language
regions: Ғунд

notes: apparently belongs to the Х̌ичу̊н jamoat; exact location is unclear

sources: [J-42]"
38,Питфонҷ (?),Shughni,"{'Shughni': '?', 'Russian': 'Питфондж (Pitfondzh)', 'Tajiki': 'Питфонҷ (Pitfonǰ)'}",['Петфонж (Petfonzh)'],,"['apparently belongs to the Х̌ичу̊н jamoat', 'exact location is unclear']",['J-42'],point,proper Shughni language,Ғунд,Х̌ичу̊н ҷамоат,"Shughni: ?
Russian: Питфондж (Pitfondzh)
Tajiki: Питфонҷ (Pitfonǰ)
alternate spellings: Петфонж (Petfonzh)
coordinates: [37.5425673, 71.667856]
altitude: 2574 m

idiom: proper Shughni language
regions: Ғунд

notes: apparently belongs to the Х̌ичу̊н jamoat; exact location is unclear

sources: [J-42]"
39,Гееджак (?),Shughni,"{'Shughni': '?', 'Russian': 'Гееджак (Geedzhak)'}",,,"['apparently belongs to the Х̌ичу̊н jamoat', 'exact location is unclear']",['J-42'],point,proper Shughni language,Ғунд,Х̌ичу̊н ҷамоат,"Shughni: ?
Russian: Гееджак (Geedzhak)
coordinates: [37.5428947, 71.6951099]
altitude: 2319 m

idiom: proper Shughni language
regions: Ғунд

notes: apparently belongs to the Х̌ичу̊н jamoat; exact location is unclear

sources: [J-42]"
40,Барсем,Shughni,"{'Shughni': '?', 'Russian': 'Барсем (Barsem)'}",,,['belongs to the Х̌ичу̊н jamoat'],"['Каландаров 2004: 12', 'J-42']",point,proper Shughni language,Ғунд,Х̌ичу̊н ҷамоат,"Shughni: ?
Russian: Барсем (Barsem)
coordinates: [37.5650398, 71.7181443]
altitude: 2404 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Х̌ичу̊н jamoat

sources: [Каландаров 2004: 12; J-42]"
41,Wийӣб,Shughni,"{'Shughni': 'Wийӣб (Wiyīb)', 'Russian': 'Вииб (Viib)'}",['Колхозобад (Kolkhozobad)'],['Колхозабад (Kolkhozabad)'],"['rding to Edelman, it was “previously” called\xa0Wийӣб']","['Эдельман 1975: 49', 'Каландаров 2004: 12', 'J-42']",point,proper Shughni language,Ғунд,Х̌ичу̊н ҷамоат,"Shughni: Wийӣб (Wiyīb)
Russian: Вииб (Viib)
alternate spellings: Колхозобад (Kolkhozobad)
alternate names: Колхозабад (Kolkhozabad)
coordinates: [37.572921, 71.7303752]
altitude: 2375 m

idiom: proper Shughni language
regions: Ғунд

notes: rding to Edelman, it was “previously” called Wийӣб

sources: [Эдельман 1975: 49; Каландаров 2004: 12; J-42]"
42,Танг,Shughni,"{'Shughni': '?', 'Russian': 'Танг (Tang)'}",,,['belongs to the Х̌ичу̊н jamoat'],"['Эдельман 1975: 49', 'Каландаров 2004: 12', 'J-42']",point,proper Shughni language,Ғунд,Х̌ичу̊н ҷамоат,"Shughni: ?
Russian: Танг (Tang)
coordinates: [37.601376, 71.7424707]
altitude: 2439 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Х̌ичу̊н jamoat

sources: [Эдельман 1975: 49; Каландаров 2004: 12; J-42]"
43,Шашвоз,Shughni,"{'Shughni': '?', 'Russian': 'Шашвоз (Shashvoz)'}",,,"['possibly, belongs to the Х̌ичу̊н jamoat']","['Зарубин 1930: 109', 'Эдельман 1975: 49', 'J-42']",point,proper Shughni language,Ғунд,—,"Shughni: ?
Russian: Шашвоз (Shashvoz)
coordinates: [37.616758, 71.7634034]
altitude: 2477 m

idiom: proper Shughni language
regions: Ғунд

notes: possibly, belongs to the Х̌ичу̊н jamoat

sources: [Зарубин 1930: 109; Эдельман 1975: 49; J-42]"
44,Ривак,Shughni,"{'Shughni': '?', 'Russian': 'Ривак (Rivak)'}",,,['belongs to the Навабад jamoat'],"['Зарубин 1930: 109', 'Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,"Навабад ҷамоат
","Shughni: ?
Russian: Ривак (Rivak)
coordinates: [37.644069, 71.7861381]
altitude: 2517 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Навабад jamoat

sources: [Зарубин 1930: 109; Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
45,Сижд ,Shughni,"{'Shughni': '?', 'Russian': 'Сижд (Sizhd)'}",['Сидж (Sidzh)'],,['belongs to the Навабад jamoat'],"['Зарубин 1930: 109', 'Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,"Навабад ҷамоат
","Shughni: ?
Russian: Сижд (Sizhd)
alternate spellings: Сидж (Sidzh)
coordinates: [37.6524729, 71.7733111]
altitude: 2543 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Навабад jamoat

sources: [Зарубин 1930: 109; Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
46,Турбат,Shughni,"{'Shughni': '?', 'Russian': 'Турбат (Turbat)'}",,,['belongs to the Навабад jamoat'],"['Зарубин 1930: 109', 'Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,"Навабад ҷамоат
","Shughni: ?
Russian: Турбат (Turbat)
coordinates: [37.6486589, 71.7966785]
altitude: 2527 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Навабад jamoat

sources: [Зарубин 1930: 109; Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
